Prueba,Palabra,Indice Casilla,Coordenadas,Tiempo,Tiempo Total,Errores
7,TAB. INICIAL,0,"[(0.043500404432416324, 0.8176811754703535), (0.043620779365301496, 0.8280255138874066), (0.043620779365301496, 0.8383849501609817), (0.043536218255758645, 0.8446261942386641), (0.04349414557218588, 0.8469293236732497), (0.043374186381698016, 0.849088048934938), (0.043263864144683244, 0.8512467741966262), (0.043263864144683244, 0.8535173654556288), (0.043263864144683244, 0.8543937861919417), (0.043221375718713165, 0.8548998057842269), (0.04316083192825353, 0.8556430578231826), (0.04304460585117376, 0.8566439092159286), (0.04281291551888025, 0.8566439092159286), (0.04262371361255682, 0.8573398172855391), (0.04254997596144712, 0.8578346490859999), (0.04237882941961325, 0.8577873051166549), (0.04226336516439951, 0.8577741503715531), (0.04231104478240049, 0.8582558274269119), (0.042187619209289914, 0.8585125863552108), (0.042076401785016426, 0.8584644019603745), (0.042080648615956666, 0.8590261042118087), (0.042057890444994334, 0.8594417810440078), (0.041859780251980186, 0.8597116947174086), (0.04183277525007761, 0.8600166380405441), (0.04180577024817503, 0.8609952747821822), (0.04166124537587202, 0.8616689682006851), (0.04166124537587203, 0.8627816021442427), (0.041671397909522415, 0.8634013354778304), (0.041799070313573244, 0.8634013354778304), (0.041799070313573244, 0.862592709064485), (0.04206429533660448, 0.8617840826511397), (0.042212000489235284, 0.8611103892326369), (0.04232952035963571, 0.8603557229042067), (0.04232952035963571, 0.8602207899093642), (0.04232952035963571, 0.8601451277732863), (0.042115974426269895, 0.8598691225051894), (0.04190242849290407, 0.8582882404327407), (0.041836587712169054, 0.8580122351646438), (0.041745671257377034, 0.8571326613426222), (0.04168795049190557, 0.8559069216251387), (0.041696070507169135, 0.8548815250396743), (0.041704190522432696, 0.8539875388145461), (0.04171231053769625, 0.8515027880668654), (0.04191051013767756, 0.8489171802997604), (0.0420755140483383, 0.8460246920585647), (0.04246353060007132, 0.843132203817369)]",71.7502998,97.9505099,0
7,TAB. CASA,7,"[(0.8253210186958324, 0.6957441270351419), (0.8204003751277934, 0.6645739555358895), (0.8168552696704875, 0.628825724124909), (0.8144083499908458, 0.5948962867259985), (0.8120322823524486, 0.5679801046848302), (0.8110154211521159, 0.5455302059650425), (0.812137770652772, 0.5322720587253574), (0.8132601201534282, 0.5299422442913059), (0.8143824696540843, 0.5299422442913059), (0.8155048191547405, 0.5299422442913059), (0.8165744245052349, 0.5299422442913059), (0.8178977489471446, 0.5309500217437748), (0.8200660943984996, 0.5340322732925419), (0.822967463731767, 0.5399786770343784), (0.825135809183122, 0.5503767132759098), (0.8273041546344769, 0.5639670789241795), (0.8281491756439223, 0.5813892662525182), (0.8281491756439223, 0.5967369794845585), (0.8274161517620101, 0.6141074359416967), (0.8274161517620101, 0.6303619801998144), (0.8263352036476148, 0.6511336624622353), (0.8252542555332196, 0.6715407609939582), (0.8241733074188243, 0.6919478595256813), (0.8221442997455608, 0.7080531120300301), (0.8194421768188487, 0.7220853269100198), (0.8169560790061962, 0.7280518651008615), (0.8133470177650463, 0.7298332273960122), (0.808673506975175, 0.7317621052265176), (0.8048710644245158, 0.7331059336662301), (0.8017417371273051, 0.731258201599122), (0.7994773328304301, 0.7316955566406259), (0.7983358919620525, 0.7342472314834604), (0.7982589006423961, 0.7366513907909402), (0.7982589006423961, 0.73905555009842), (0.7997156143188487, 0.7407555878162393), (0.8011723279953014, 0.7405267477035531), (0.8061694383621226, 0.7352373778820047), (0.8152988374233259, 0.7282908380031594), (0.826660752296449, 0.7202008426189431), (0.8375793993473065, 0.7147438466548929), (0.8484980463981643, 0.7102165281772622), (0.8565079212188735, 0.707076412439347), (0.8611852645874037, 0.7055934667587287), (0.8636300921440139, 0.7065231442451484), (0.8663297414779677, 0.7061836540699012), (0.8690293908119215, 0.7049144864082344), (0.8710974156856551, 0.7046071887016303), (0.8710974156856551, 0.7038563311100013), (0.8702976584434523, 0.7002245247364052), (0.8676717638969436, 0.695699334144593)]",81.1032301,97.9505099,0
7,VENTANA,7,"[(0.8104058086872111, 0.6042694330215459), (0.8109773457050334, 0.6058677375316625), (0.8115488827228556, 0.607466042041779), (0.8115488827228556, 0.6165122151374821), (0.8100981116294872, 0.6178817152976994), (0.8069462180137645, 0.6264293611049657), (0.8027081549167644, 0.6341060340404515), (0.7995562613010417, 0.6360641181468969), (0.7969759047031413, 0.6303455293178564), (0.7958463191986095, 0.6344823658466344), (0.7954406142234813, 0.6340576827526097), (0.7961210787296306, 0.6407881259918218), (0.7957153737545024, 0.6532371580600744), (0.7952642858028423, 0.6656861901283271), (0.7948131978511821, 0.6739387869834907), (0.7947678148746501, 0.6833628416061408), (0.7947224318981181, 0.6929888248443611), (0.7946809232234966, 0.7052197992801674), (0.794684797525407, 0.7174507737159737), (0.7946886718273174, 0.7240227580070504), (0.7946925461292278, 0.7294232845306405), (0.7946964204311382, 0.7320282757282266), (0.7950733304023754, 0.7286770403385171), (0.7962649941444407, 0.7253258049488076), (0.7974566578865062, 0.7253803551197061), (0.7981831252574931, 0.7265249371528635), (0.79890959262848, 0.7276695191860207), (0.7992591500282298, 0.7310753047466287), (0.7987939536571513, 0.7310753047466287), (0.7976022899150859, 0.7299365460872659), (0.7960513055324565, 0.728846514225007), (0.7934269547462474, 0.7266177237033853), (0.789634394645692, 0.7254789650440225), (0.7846617877483378, 0.7240040183067331), (0.7804156482219706, 0.7202620446681985), (0.776994025707246, 0.7140501558780679), (0.7746457695961009, 0.7121904909610757), (0.7750425279140483, 0.7103308260440835), (0.7764945387840282, 0.7157745838165293), (0.7789311408996593, 0.7212183415889749), (0.7803831517696391, 0.7302987992763528), (0.7803394675254832, 0.7338602483272562), (0.7795787751674663, 0.7338602483272562), (0.7766000807285319, 0.7270853340625771), (0.7716930091381083, 0.7203104197978982), (0.767770528793336, 0.7112299621105203), (0.7653437435626993, 0.7044550478458413)]",92.4162645,97.9505099,0
-------,-------,-------,-------,-------,-------,-------
8,TAB. PERSONAS,4,"[(0.06791704446077387, 0.48174789845943494), (0.06791704446077386, 0.4945964097976689), (0.0676159083843235, 0.506397265195847), (0.06678557060658971, 0.518198120594025), (0.06625636890530626, 0.5262769877910618), (0.0657271672040228, 0.5285033702850346), (0.06462612971663514, 0.5298067748546604), (0.0634832054376606, 0.530877357721329), (0.06321250572800675, 0.5319479405879978), (0.06259878315031567, 0.5330185234546666), (0.06153426878154317, 0.5330185234546666), (0.060740454122424514, 0.5322319447994237), (0.060740454122424514, 0.53172978758812), (0.05998171195387879, 0.5312276303768162), (0.059565992653370294, 0.5307254731655124), (0.05960106514394322, 0.5312276303768162), (0.06005185693502465, 0.5312792301177982), (0.06005185693502465, 0.5292281150817875), (0.06046757623553315, 0.5271770000457768), (0.060883295536041646, 0.5239936172962193), (0.06134899891912976, 0.520308077335358), (0.06156046725809613, 0.5168574810028079), (0.0617719355970625, 0.5147230207920078), (0.06216494254767933, 0.5125885605812076), (0.06237641088664571, 0.5145755827426914), (0.0627545155584816, 0.5165626049041752), (0.0627545155584816, 0.5202373087406162), (0.06305738016963044, 0.5313606977462773), (0.0635294847190384, 0.5424840867519383), (0.06426294296979942, 0.5562524855136876), (0.0648070104420189, 0.5749346256256108), (0.06556769832968752, 0.5929312765598301), (0.0660255216062073, 0.6071498990058903), (0.06653805971145672, 0.6213685214519505), (0.06756136417388957, 0.6315508902072912), (0.0687865622341637, 0.6396853268146521), (0.07001176029443781, 0.6488796949386604), (0.07100783511996309, 0.6544034063816078), (0.07159841656684915, 0.6599271178245552), (0.07159841656684915, 0.6646914422512061), (0.0713692933321003, 0.6657513737678535), (0.07090718597173731, 0.6642658591270454), (0.07090718597173731, 0.6603401184082038), (0.07148770168423693, 0.6549401164054877), (0.07284694612026257, 0.6473603606224066), (0.07420619055628819, 0.631838190555573)]",12.6221673,91.9467732,0
8,TAB. RÁPIDO,0,"[(0.047079502418637655, 0.7512642681598672), (0.04691299721598663, 0.7660833358764659), (0.046746492013335604, 0.7745820820331584), (0.04663649573922195, 0.7766794800758372), (0.04663649573922195, 0.778776878118516), (0.04648459888994731, 0.7795074582099926), (0.04593334719538726, 0.7807313680648814), (0.04515301324427164, 0.7820883870124827), (0.04426748640835322, 0.7833475708961497), (0.04338195957243479, 0.7846067547798168), (0.042648329585791, 0.786283540725709), (0.04231405444443262, 0.7874669969081889), (0.042212783545256025, 0.7888188719749462), (0.04217027463018931, 0.7892364740371715), (0.042127765715122584, 0.7896540760993969), (0.04208525680005586, 0.7904620468616497), (0.04204274788498914, 0.7912700176239025), (0.04204274788498914, 0.7922396242618571), (0.04204274788498914, 0.7930475950241099), (0.04204274788498914, 0.7938555657863627), (0.04215766042470968, 0.7930475950241099), (0.04227257296443021, 0.792205971479417), (0.0424423255026344, 0.7912363648414622), (0.04265850894153154, 0.7912363648414622), (0.04287469238042867, 0.7912363648414622), (0.042874692380428674, 0.7923886716365824), (0.043032804131508236, 0.793574631214143), (0.043089644983411196, 0.7930773437023173), (0.043146485835314156, 0.7914610922336589), (0.04320332668721712, 0.7885316014289867), (0.0434854511171583, 0.7818678915500652), (0.04360946379601992, 0.7725184381008158), (0.043690520524979, 0.7588807642459879), (0.043690520524979, 0.7463620543479929), (0.04359485208988226, 0.7250014185905466), (0.043165768310428024, 0.707030665874482), (0.04294608719646967, 0.6976777851581583), (0.04294608719646967, 0.6934547483921059), (0.042850418761372924, 0.6892317116260536), (0.04302714392542875, 0.6951638400554664), (0.04320386908948458, 0.6976863980293281), (0.04342630170285738, 0.694276827573777), (0.043472009152174355, 0.6916346609592445), (0.04369444176554716, 0.688992494344712), (0.04374014921486414, 0.6863503277301796), (0.04377540871501005, 0.6911109864711769), (0.0433457680046562, 0.6958716452121742), (0.042916127294302345, 0.7019868016242989), (0.0424864865839485, 0.7081019580364235), (0.042241741344333054, 0.7161566495895395), (0.042212969064712884, 0.7202180862426767), (0.04254362285137213, 0.7242795228958139), (0.04288768954575098, 0.727434480190278), (0.04323175624012983, 0.7308920443058022), (0.04337751455605066, 0.7324100732803354), (0.0434448909014467, 0.7331139981746683), (0.043362631276250244, 0.7346320271492013), (0.043163692578673724, 0.7356822490692148), (0.04306802004575765, 0.7374167859554299), (0.042882494255900745, 0.7414700388908395), (0.042882494255900745, 0.7463373959064492), (0.042882494255900745, 0.7493949651718148), (0.042882494255900745, 0.7517049193382273), (0.042882494255900745, 0.7530279517173776), (0.042985760420561195, 0.7520322680473337), (0.042985760420561195, 0.7501877605915078), (0.042985760420561195, 0.7493389368057259), (0.04308902658522165, 0.7484901130199442), (0.043102439492941264, 0.7476412892341623)]",7.8931757,91.9467732,0
8,YO,4,"[(0.04301258623600042, 0.7390058338642129), (0.042809636890888576, 0.7321121513843545), (0.042476110905409224, 0.7252184689044961), (0.04225134551525152, 0.723114579916001), (0.04228558577597178, 0.7136327743530281), (0.042579725757241615, 0.7089407622814187), (0.042973548918962844, 0.7011946856975563), (0.04358050227165258, 0.6934486091136941), (0.04406528212130106, 0.6778894066810615), (0.04437880776822603, 0.6712065398693092), (0.044647929072380424, 0.6645236730575569), (0.045265460014343624, 0.6615003407001503), (0.051012817770243066, 0.6618665158748633), (0.053237245231867215, 0.6652560234069831), (0.05368447117507495, 0.6743784070014961), (0.05403288081288375, 0.6871603250503547), (0.05368447117507495, 0.6999422430992135), (0.0481236811727289, 0.7093346536159524), (0.04639822244644201, 0.7187270641326913), (0.04661738425493277, 0.7187270641326913), (0.0470588672906164, 0.7150675296783456), (0.049283039569855115, 0.7114079952239999), (0.05627810917794742, 0.7077484607696543), (0.06296077780425588, 0.7035493969917306), (0.06938827596604864, 0.7057194113731393), (0.07559345290064853, 0.7057551264762887), (0.07563356198370498, 0.707328438758851), (0.06965480670332949, 0.7073069810867318), (0.06341362111270468, 0.7077040255069742), (0.05659545287489929, 0.7069291234016427), (0.0490601301193241, 0.7067509233951578), (0.04601288996636904, 0.7050351262092599), (0.04421361684799231, 0.7008293569087991), (0.042542538791895276, 0.6967446148395547), (0.0414484433829788, 0.6911222755908973), (0.04102133847773111, 0.687037533521653), (0.04083693921566046, 0.6829527914524085), (0.0406525399535898, 0.6829527914524085), (0.04041644260287321, 0.6727369248867042), (0.04009976945817507, 0.6528104066848761), (0.03983326032757795, 0.6326222479343421), (0.039716968312859896, 0.6071613252162938), (0.03963639251887834, 0.5779716610908513), (0.03974175006151236, 0.5573585808277135), (0.03992768339812792, 0.5425062328577046), (0.040364143997431164, 0.5217231482267384)]",10.5042698,91.9467732,0
8,TAB. INICIAL,0,"[(0.049124516546726595, 0.8107522845268262), (0.05041353888809719, 0.8203187644481673), (0.05215390585362949, 0.8282128095626845), (0.05376491658389606, 0.8324760437011733), (0.05479777790606061, 0.8384605646133437), (0.056014131382108125, 0.8436512172222151), (0.05633611977100411, 0.8476951658725753), (0.05620676353573838, 0.8508044064044966), (0.05620676353573838, 0.853913646936418), (0.05620979219675103, 0.8548618555068984), (0.0560293287038807, 0.8551423192024246), (0.055848865211010366, 0.8554227828979506), (0.05566840171814004, 0.8554227828979506), (0.05537156015634574, 0.8549830377101912), (0.05525518208742179, 0.8546495139598861), (0.05513087175786534, 0.8535933971405043), (0.05467546693980733, 0.8524426639080062), (0.05381436720490494, 0.8507718622684493), (0.05291245952248612, 0.8482070028781905), (0.051793689280748754, 0.8449618875980391), (0.050328745320439724, 0.8416391789913191), (0.04895999096334018, 0.8387715280056014), (0.0479456555098299, 0.8360635042190566), (0.0470537658780817, 0.8339178860187545), (0.04619782939553298, 0.8322564303874982), (0.04549996703863181, 0.8305858433246625), (0.04523304142057932, 0.8271620810031901), (0.04501739181578196, 0.8222377181053172), (0.044836482405662896, 0.8167743802070628), (0.04501739181578196, 0.8111265182495128)]",16.3478672,91.9467732,0
8,TAB. VERBOS,1,"[(0.4767988890409473, 0.8074602007865916), (0.46630267500877426, 0.8127152562141429), (0.45752395987510724, 0.8152685761451732), (0.45249124765396154, 0.8165095150470745), (0.4505137920379642, 0.817700082063676), (0.4485363364219669, 0.8189859211444865), (0.44738428294658694, 0.819348841905595), (0.446232229471207, 0.8206346809864055), (0.4420515894889835, 0.8207299530506145), (0.4390230029821399, 0.820557576417924), (0.4352696210145954, 0.8202899277210246), (0.42848280668258704, 0.8200222790241252), (0.42014565169811285, 0.8197546303272258), (0.4129295945167546, 0.8167049288749706), (0.4047951370477681, 0.8091692268848429), (0.39738547503948246, 0.8014371275901805), (0.3918376803398136, 0.7899315834045421), (0.3878402262926105, 0.778379648923875), (0.3851064890623096, 0.769877415895463), (0.3832911521196369, 0.7597684442996988), (0.3800429552793506, 0.7521555840969095), (0.37674083113670387, 0.7483161687850961), (0.3730970770120624, 0.742511498928071), (0.37009709477424657, 0.7367068290710458), (0.36583755314350164, 0.7369948983192453), (0.36301087141037025, 0.740408033132554), (0.36167374849319495, 0.7458328127861031), (0.35963999629020726, 0.7532692372798928), (0.3576062440872196, 0.7607056617736825), (0.3573810487985615, 0.7688564360141765), (0.3571558535099033, 0.7713019669055949), (0.35666659176349674, 0.7734436571598063), (0.35810807943344153, 0.7773785412311565), (0.3586692810058597, 0.7798396944999706), (0.35868148505687747, 0.7815864980220806), (0.35869368910789523, 0.78444346189499), (0.358705893158913, 0.7849837303161632), (0.35782560706138644, 0.7837308049201976), (0.35782560706138644, 0.782533234357835), (0.35787854790687595, 0.7798380076885234), (0.3583554476499561, 0.7763130843639384), (0.35883234739303627, 0.7725861310958873), (0.3593092471361164, 0.766404676437379)]",26.702779,91.9467732,0
8,PODER,7,"[(0.878980135917665, 0.6442944526672368), (0.8779760837554946, 0.6696726560592658), (0.8769720315933242, 0.6854489624500282), (0.8747178137302413, 0.6960636556148536), (0.870747154951097, 0.7018975734710702), (0.8660452127456679, 0.7077314913272865), (0.860107916593553, 0.7119798719882974), (0.8541706204414382, 0.7154348969459543), (0.8470650255680099, 0.7184489548206339), (0.8387002706527722, 0.7214217901229867), (0.8301719367504132, 0.7243946254253396), (0.8244360506534587, 0.7262386143207559), (0.8170902609825145, 0.7267676293849954), (0.81135654449463, 0.7267676293849954), (0.8062684953212749, 0.7285403966903695), (0.8020753085613261, 0.7326449930667887), (0.79804146885872, 0.7365344464778909), (0.7956047296524058, 0.7404238998889932), (0.7949784338474284, 0.7445284962654123), (0.7949656307697307, 0.7468603253364572), (0.7949528276920329, 0.7445284962654123), (0.7949400246143352, 0.7401778995990762), (0.7949400246143352, 0.7350714504718789), (0.7949400246143352, 0.7299650013446817), (0.7949528276920329, 0.7251724243164072), (0.7949656307697307, 0.7152976930141458), (0.7949784338474284, 0.7074417293071755), (0.7949784338474284, 0.7003416180610665), (0.794253569841386, 0.7023603856563577), (0.7934427201747905, 0.705077266693116), (0.7926318705081951, 0.7167465746402749), (0.7925378322601329, 0.7346760153770455), (0.7917397856712352, 0.7526054561138162), (0.79166660308838, 0.7614160180091867), (0.79166660308838, 0.7692145943641673), (0.792729789018632, 0.7782112240791331), (0.7936905622482311, 0.7809477210044872), (0.7969719529151927, 0.7856802463531505), (0.8002533435821544, 0.7911140143871318), (0.8019309282302867, 0.7985410690307628), (0.8023539900779735, 0.8032316267490398), (0.80216265320778, 0.8079221844673168), (0.7997531116008769, 0.8106167137622844), (0.7964717209339153, 0.8126100003719341), (0.7943196892738353, 0.8126100003719341), (0.7901831328868877, 0.8126100003719341), (0.78604657649994, 0.8101082265377055)]",37.6349585,91.9467732,0
8,DORMIR,12,"[(0.15591398067772427, 0.3516826480627063), (0.11139734201133289, 0.35415937006473575), (0.0721587974578146, 0.3603486210107807), (0.05351380929350892, 0.3625520527362827), (0.05211304463446178, 0.3689805418252948), (0.05131239369511642, 0.37118397355079685), (0.0505240663886074, 0.377612462639809), (0.049727007001638776, 0.38093751370906864), (0.04925234764814414, 0.38525913357734715), (0.048939885199070346, 0.381034076213837), (0.048774697259068855, 0.381034076213837), (0.04908715970814265, 0.37166543006897007), (0.04955683425068893, 0.35970486700534854), (0.04970410875976124, 0.3482568323612217), (0.04968584552407302, 0.3442235022783283), (0.04921617098152674, 0.3482672035694126), (0.04888544529676474, 0.35745449364185367), (0.04856304526329077, 0.36862460970878635), (0.04784499928355253, 0.3856623083353046), (0.047301222756505376, 0.394912084937096), (0.046905725076794996, 0.3905491173267368), (0.046103326231241595, 0.3861861497163776), (0.04550276696682013, 0.3818231821060184), (0.04509308524429835, 0.3733043968677524), (0.044674671813846, 0.3694804489612583), (0.044378748163581255, 0.3694804489612583), (0.044185588881373764, 0.37008661031723056), (0.04406086392700708, 0.37069277167320286), (0.04404303953051603, 0.3684144228696827), (0.04402521513402498, 0.36613607406616244), (0.04404075890779531, 0.36674223542213474), (0.04397702701389826, 0.3678085982799534), (0.04379988349974191, 0.36887496113777196), (0.04379988349974191, 0.3704606443643573), (0.04379988349974191, 0.3714797437191013), (0.04379988349974191, 0.371892681717873), (0.0438791591674093, 0.37123925685882603), (0.0438791591674093, 0.37108561098575626), (0.0438791591674093, 0.37158538997173346), (0.0438791591674093, 0.37265175282955204), (0.0438791591674093, 0.3720851689577106), (0.0438791591674093, 0.3715185850858692), (0.04395843483507669, 0.3704522222280506), (0.043777167797088984, 0.3704522222280506), (0.043387466296553975, 0.3711458861827854), (0.04287943169474638, 0.37503044605255165), (0.04237139709293879, 0.38129499256610905), (0.04186336249113119, 0.3893499284982685), (0.04153659492731131, 0.39895505011081733), (0.04141826182603872, 0.4078665077686313), (0.04141826182603872, 0.41989607512950944), (0.04141826182603872, 0.4295456558465961), (0.04127772264182604, 0.4410287827253345), (0.04113718345761335, 0.4498953610658649), (0.04099664427340067, 0.4587619394063953), (0.04085610508918798, 0.4623858749866489), (0.0407155659049753, 0.4660098105669025), (0.04074299968779123, 0.4660098105669025), (0.040770433470607166, 0.4660098105669025), (0.04094725437462366, 0.4632474154233936), (0.04124648049473799, 0.4542445361614231)]",43.9324004,91.9467732,0
8,TAB. INICIAL,0,"[(0.04892823249101676, 0.8082671284675609), (0.04874204657971896, 0.8129338264465342), (0.04866807647049465, 0.8153040647506724), (0.048160533234477415, 0.8158234715461742), (0.0477269601076845, 0.815852689743043), (0.047466056048870456, 0.81326266527176), (0.0467715788632635, 0.8106726408004772), (0.04607710167765654, 0.8087925910949718), (0.046206917613745103, 0.8090500533580791), (0.04633673354983366, 0.8112072944641125), (0.04712373614311256, 0.8162873148918164), (0.04791073873639144, 0.8219809770584119), (0.04888571910560169, 0.828392213582994), (0.04946997947990932, 0.8330203354358687), (0.05060416832566299, 0.8362200319767013), (0.05134207457304039, 0.8383769989013686), (0.05272286497056522, 0.8399203240871443), (0.054104891046882056, 0.8424509346485152), (0.05566435270011464, 0.8460074901580825), (0.056496450304985436, 0.849092692136766), (0.05732854790985623, 0.8521778941154494), (0.05769519694149533, 0.8552630960941329), (0.05787263251841107, 0.858255654573442), (0.05787263251841107, 0.8598678708076491), (0.05805006809532681, 0.8614800870418563), (0.05822750367224255, 0.8630923032760635), (0.05822750367224255, 0.8634187698364272), (0.05805006809532681, 0.8621330201625839), (0.057624292001128584, 0.8608472704887404), (0.05724217444658318, 0.859561520814897), (0.05686005689203778, 0.8582757711410537), (0.056338464468717965, 0.858991384506227), (0.05577852427959481, 0.8587049663066878), (0.05568270795047322, 0.8584185481071487), (0.055327449738979725, 0.8577155292034163), (0.05497219152748624, 0.8570125102996841), (0.054756408184767145, 0.8555938780307784), (0.054756408184767145, 0.8551772773265853), (0.054540624842048066, 0.8547606766223922), (0.05431116335094013, 0.8545635759830488), (0.05431116335094013, 0.8540908515453353), (0.05444885008037128, 0.8536181271076215), (0.05465260371565857, 0.8531454026699079), (0.05493445396423378, 0.8518136858940137)]",57.0408365,91.9467732,0
8,TAB. CONCEPTOS,10,"[(0.6418072938919073, 0.16153011173009918), (0.6482486367225654, 0.17164488136768385), (0.6552153408527381, 0.18245715647935912), (0.6623312115669258, 0.1931647047400479), (0.668387573957444, 0.20045635551214264), (0.6735152482986457, 0.2055156603455548), (0.6762547016143806, 0.20930410772562072), (0.6784687936306006, 0.2113057672977452), (0.6799685597419746, 0.21330742686986967), (0.680686134099961, 0.21530908644199415), (0.680686134099961, 0.2168257966637616), (0.681050372123719, 0.2202795490622525), (0.681414610147477, 0.2253046721220021), (0.6810968756675727, 0.2303297951817517), (0.6803793013095862, 0.2353549182415013), (0.6792437732219703, 0.23934285640716596), (0.6766527533531196, 0.2387009069323544), (0.6740617334842689, 0.23600806146860168), (0.6717884480953223, 0.23040838241577194), (0.6699150025844581, 0.22674574553966567), (0.6696059405803687, 0.22014015913009688), (0.6703881323337562, 0.21992617100477263), (0.6691203594207771, 0.2234279498457913), (0.667852586507798, 0.23209420442581222), (0.6665848135948188, 0.2344638362526898), (0.6626929283142097, 0.23977641761302992), (0.6578326404094703, 0.24574982672929807), (0.6550223171710975, 0.2529257893562321), (0.6503621816635139, 0.25716752558946654), (0.6438545584678657, 0.2626509293913845), (0.6408350706100471, 0.2678287699818615), (0.6387839853763587, 0.26972771883010904), (0.6367329001426704, 0.2690511345863347), (0.6357940733432776, 0.2690511345863347), (0.6367027342319496, 0.2748828560113911), (0.6350565195083624, 0.2783063322305683), (0.6328666508197791, 0.2806491196155552), (0.6296516656875616, 0.2784466862678532), (0.6271742343902593, 0.27624425292015115), (0.6230311214923863, 0.2713280111551289), (0.6197966694831852, 0.2688200145959858)]",65.5899471,91.9467732,0
8,AHORA,7,"[(0.8984288394451158, 0.6337448358535772), (0.8991498529911057, 0.6517782449722296), (0.8998572349548356, 0.668045377731324), (0.9005782485008256, 0.6815725803375251), (0.9009422779083268, 0.6896606266498573), (0.9015566825866717, 0.6925932765007026), (0.9022377610206622, 0.6925932765007026), (0.9034910678863544, 0.6854090631008154), (0.904674834012987, 0.6854090631008154), (0.905735248327257, 0.6854090631008155), (0.9068290591239947, 0.6862314403057106), (0.9074921667575853, 0.6795574545860297), (0.9080986261367814, 0.6800676822662359), (0.9084105968475358, 0.6724040031433111), (0.9088459193706528, 0.6647403240203863), (0.9089974701404587, 0.6499359011650091), (0.9092085778713243, 0.6426278412342077), (0.9092681348323838, 0.6353197813034062), (0.9093276917934434, 0.6290014147758488), (0.9094637393951432, 0.6209578812122349), (0.9097597777843491, 0.6192327141761784), (0.9098362684249894, 0.6175075471401219), (0.9101056814193742, 0.6203595697879796), (0.9101821720600144, 0.6232115924358372), (0.9101821720600144, 0.6324559211730962), (0.9099174916744248, 0.6417002499103551), (0.9097287297248856, 0.6462774395942694), (0.9093470454216019, 0.6446363329887397), (0.9089765727520007, 0.6345437049865728), (0.9084659874439256, 0.6197839379310613), (0.9080600917339343, 0.6050241708755497), (0.9077382683753985, 0.594931542873383), (0.9075565576553363, 0.586480021476746), (0.9077001869678514, 0.5927367150783543), (0.9074534714221972, 0.5965433657169347), (0.9079255044460315, 0.600350016355515), (0.9083975374698655, 0.6041566669940953), (0.9078783929348008, 0.6103854656219487), (0.9065710365772264, 0.6103575706481938), (0.9055082142353074, 0.6191158592700964), (0.9037266433239, 0.6215380072593694), (0.9013462305068988, 0.6239601552486425), (0.8986345767974869, 0.6177034616470342), (0.8961098253726976, 0.6042244374752049), (0.8938709974288956, 0.5844092726707463), (0.8916321694850937, 0.570930248498917)]",73.4292326,91.9467732,0
8,TAB. INICIAL,0,"[(0.04778848551213778, 0.8101517200469981), (0.04714388027787245, 0.8144350767135631), (0.046499275043607124, 0.8177202701568614), (0.04561851881444491, 0.8194339513778697), (0.04504979699850119, 0.820980453491212), (0.04472995139658487, 0.8216063261032115), (0.04449336118996179, 0.822232198715211), (0.04421737678349054, 0.8222459673881541), (0.04388698749244249, 0.8213253378868114), (0.04365755245089567, 0.8212502121925365), (0.043469874933362365, 0.822050416469575), (0.04330432303249872, 0.8228506207466137), (0.04312741830945051, 0.8227915525436413), (0.04277053512632883, 0.8226663649082194), (0.042073875665665034, 0.8216956734657298), (0.04131276868283785, 0.8207702815532695), (0.04050312191247976, 0.8197220265865337), (0.03979276195168531, 0.8195330440998088), (0.039452985674143196, 0.8194101810455333), (0.039452985674143196, 0.8192873179912578), (0.03958918601274526, 0.8182995080947887), (0.0395696427673105, 0.8174345612525951), (0.03950155973434484, 0.8174345612525951), (0.03929727636277712, 0.8174345612525951), (0.039093919843435646, 0.8171980381011974), (0.03876164183020628, 0.8170320272445689), (0.038542213290930154, 0.8152424037456523), (0.03826701939106024, 0.8114422678947459), (0.03799182549119032, 0.8076421320438396), (0.03769251070916689, 0.8040785193443309), (0.037522117421031356, 0.8011095643043529), (0.037522117421031356, 0.7993370175361645), (0.03757788278162515, 0.7987100362777723), (0.03772508203983342, 0.7985102593898785), (0.03784421049058473, 0.7978832781314862), (0.03786578774452245, 0.7974560737609876), (0.03780840560793912, 0.7965487301349652), (0.037751023471355796, 0.7956413865089427), (0.03757451288402116, 0.7920906841754924), (0.03744926713407075, 0.7870440423488627), (0.03740400746464765, 0.7819974005222331), (0.03735874779522454, 0.7778581023216258), (0.03731348812580143, 0.7737188041210186), (0.037295923009515154, 0.7717956602573406), (0.0372999351471666, 0.7717956602573406), (0.03732151240110432, 0.7717956602573406), (0.037499934062362066, 0.7710539102554332), (0.03789460659027134, 0.7703121602535259), (0.03840563073754346, 0.7695704102516184), (0.03889507763087786, 0.7688286602497111)]",84.9858513,91.9467732,0
